2025-12-31 23:30:43 | asyncio                   | DEBUG    | Using proactor: IocpProactor
2025-12-31 23:30:54 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:30:54 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:30:54 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:54 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:55 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:30:55 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:30:55 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:55 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:56 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:30:56 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:56 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:30:56 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:58 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:30:58 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:58 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:30:58 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:30:58 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:30:58 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:59 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:59 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:30:59 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:30:59 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:00 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:01 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:01 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:01 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:02 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:02 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:02 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:02 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:02 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:02 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:03 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:03 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:03 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:03 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:04 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:04 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:04 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:04 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:05 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:05 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:05 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:05 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:06 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:07 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:07 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:07 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:07 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:08 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:08 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:08 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:08 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:09 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:09 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:09 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:09 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:10 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:10 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:10 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:11 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:11 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:11 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:11 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:12 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:12 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:12 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:12 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:13 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:13 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:13 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:14 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:14 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:14 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:14 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:15 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:15 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:15 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:15 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:16 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:16 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:16 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:16 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:17 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:17 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:17 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:17 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:18 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:18 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:18 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:19 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:19 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:19 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:19 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:20 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:20 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:20 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:20 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:21 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:21 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:21 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:21 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:22 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:22 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:22 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:22 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:23 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:23 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:23 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:23 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:24 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:24 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:24 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:24 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:25 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:25 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:25 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:26 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:26 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:26 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:26 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:27 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:27 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:27 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:27 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:28 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:29 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0677
2025-12-31 23:31:29 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:29 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1916)
2025-12-31 23:31:29 | Agent.PredictionAgent     | INFO     | Prediction cycle complete. Max Cascade Probability: 0.0676
2025-12-31 23:31:29 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:29 | Agent.RiskAssessmentAgent | INFO     | Risk Assessment: LOW (Risk Score: 0.1915)
2025-12-31 23:31:30 | Agent.CoordinationAgent   | DEBUG    | DATA message received from data_acquisition
2025-12-31 23:31:30 | AgenticSystem             | INFO     | Stopping multi-agent system...
2025-12-31 23:31:30 | Agent.CoordinationAgent   | INFO     | Stopping all agents...
2025-12-31 23:31:30 | Agent.DataAcquisitionAgent | INFO     | Stopping agent: DataAcquisitionAgent
2025-12-31 23:31:30 | Agent.PredictionAgent     | INFO     | Stopping agent: PredictionAgent
2025-12-31 23:31:30 | Agent.RiskAssessmentAgent | INFO     | Stopping agent: RiskAssessmentAgent
2025-12-31 23:31:30 | Agent.CoordinationAgent   | INFO     | Stopping agent: CoordinationAgent
2025-12-31 23:31:30 | AgenticSystem             | INFO     | System stopped
